Recall,Precision,F1 score,Validation Critic,Anomaly Critic,Val-Anom critic,Critic cost,Critic cost gp,Mean critic cost,Evaluation time,TP,FP,TN,FN
0.828125,0.828125,0.828125,-8.27401542663574,-9.7407922744751,-1.46677684783936,-0.76544189453125,-0.72859388589859,-8.27401542663574,1.6021671295166,53,11,53,11
0.96875,0.96875,0.96875,-8.74145126342773,-11.2368907928467,-2.49543952941895,-0.6363525390625,-0.606971204280853,-8.74145126342773,1.59438800811768,62,2,62,2
1,1,1,-8.10251712799072,-10.788595199585,-2.68607807159424,-0.428486347198486,-0.372054666280746,-8.10251712799072,1.60462617874146,64,0,64,0
0.921875,0.921875,0.921875,-7.81982135772705,-9.62219429016113,-1.80237293243408,-0.701164245605469,-0.561570167541504,-7.81982135772705,1.7453088760376,59,5,59,5
0.953125,0.953125,0.953125,-10.4443092346191,-12.4383220672607,-1.9940128326416,-0.469756126403809,-0.414890050888061,-10.4443092346191,1.63386797904968,61,3,61,3
0.96875,0.96875,0.96875,-9.48605060577393,-11.155556678772,-1.66950607299805,-0.521276473999023,-0.414316952228546,-9.48605060577393,1.6151659488678,62,2,62,2
0.9375,0.9375,0.9375,-9.36660671234131,-11.8060636520386,-2.43945693969727,-0.557043075561523,-0.516892433166504,-9.36660671234131,1.61248898506165,60,4,60,4
0.953125,0.953125,0.953125,-6.80437803268433,-8.63828468322754,-1.83390665054321,-0.599639415740967,-0.535621881484985,-6.80437803268433,1.80496311187744,61,3,61,3
1,1,1,-7.1977686882019,-10.83811378479,-3.64034509658813,-0.579750537872314,-0.549071848392487,-7.1977686882019,1.62743496894836,64,0,64,0
0.6875,0.6875,0.6875,-10.8422870635986,-11.3978958129883,-0.555608749389648,-0.4593505859375,-0.413183093070984,-10.8422870635986,1.63780689239502,44,20,44,20
0.921875,0.921875,0.921875,-8.93237113952637,-10.3753576278687,-1.44298648834229,-0.519086837768555,-0.418179601430893,-8.93237113952637,1.62014198303223,59,5,59,5
1,1,1,-9.25776672363281,-11.3720579147339,-2.11429119110107,-0.494062423706055,-0.44011265039444,-9.25776672363281,1.74745321273804,64,0,64,0
1,1,1,-8.90468406677246,-10.8236474990845,-1.91896343231201,-0.535245895385742,-0.499135702848434,-8.90468406677246,1.64702296257019,64,0,64,0
0.953125,0.953125,0.953125,-8.56329345703125,-10.1482372283936,-1.5849437713623,-0.669493675231934,-0.575241506099701,-8.56329345703125,1.66909909248352,61,3,61,3
0.984375,0.984375,0.984375,-8.07882308959961,-9.90164375305176,-1.82282066345215,-0.457998275756836,-0.373277962207794,-8.07882308959961,1.60661506652832,63,1,63,1
0.859375,0.859375,0.859375,-8.14666938781738,-9.35729885101318,-1.2106294631958,-0.561595916748047,-0.523205637931824,-8.14666938781738,1.75168609619141,55,9,55,9
0.578125,0.578125,0.578125,-9.39715385437012,-9.7170581817627,-0.319904327392578,-0.830599784851074,-0.778878092765808,-9.39715385437012,1.65664005279541,37,27,37,27
0.984375,0.984375,0.984375,-7.85411548614502,-9.84659194946289,-1.99247646331787,-0.354874610900879,-0.316910326480865,-7.85411548614502,1.62725186347961,63,1,63,1
0.96875,0.96875,0.96875,-6.7008752822876,-8.80697250366211,-2.10609722137451,-0.628259658813477,-0.560947835445404,-6.7008752822876,1.62891697883606,62,2,62,2
0.96875,0.96875,0.96875,-8.37503814697266,-10.782299041748,-2.40726089477539,-0.713140487670898,-0.634961247444153,-8.37503814697266,1.77135920524597,62,2,62,2
0.984375,0.984375,0.984375,-6.62721061706543,-9.30127048492432,-2.67405986785889,-0.566337585449219,-0.498231828212738,-6.62721061706543,1.64078092575073,63,1,63,1
1,1,1,-7.16235780715942,-10.0741605758667,-2.91180276870728,-0.584289073944092,-0.545309960842133,-7.16235780715942,1.63074398040771,64,0,64,0
0.75,0.75,0.75,-7.06798553466797,-7.97725534439087,-0.9092698097229,-0.535969257354736,-0.479535400867462,-7.06798553466797,1.6561598777771,48,16,48,16
0.9375,0.9375,0.9375,-7.78847122192383,-9.41239356994629,-1.62392234802246,-0.497526168823242,-0.454051703214645,-7.78847122192383,1.78401517868042,60,4,60,4
1,1,1,-6.91728496551514,-9.3135290145874,-2.39624404907227,-0.617733478546143,-0.529839813709259,-6.91728496551514,1.6276741027832,64,0,64,0
0.6875,0.6875,0.6875,-8.18573188781738,-8.88949775695801,-0.703765869140625,-0.824494361877441,-0.729523420333862,-8.18573188781738,1.62803888320923,44,20,44,20
0.984375,0.984375,0.984375,-6.13620710372925,-9.66513824462891,-3.52893114089966,-0.79800271987915,-0.696583449840546,-6.13620710372925,1.64369821548462,63,1,63,1
0.953125,0.953125,0.953125,-6.96391534805298,-9.23720169067383,-2.27328634262085,-0.608103275299072,-0.537899792194366,-6.96391534805298,1.7764151096344,61,3,61,3
0.984375,0.984375,0.984375,-5.99164628982544,-8.19243240356445,-2.20078611373901,-0.332430839538574,-0.29724782705307,-5.99164628982544,1.60906386375427,63,1,63,1
0.953125,0.953125,0.953125,-4.55767679214478,-6.44990253448486,-1.89222574234009,-0.562192916870117,-0.534593939781189,-4.55767679214478,1.6030421257019,61,3,61,3
0.984375,0.984375,0.984375,-5.90166282653809,-7.76058101654053,-1.85891819000244,-0.42698860168457,-0.376791477203369,-5.90166282653809,1.60943412780762,63,1,63,1
1,1,1,-5.13475561141968,-8.56719303131104,-3.43243741989136,-0.46550464630127,-0.431730329990387,-5.13475561141968,1.74680781364441,64,0,64,0
1,1,1,-3.87593793869019,-6.88837003707886,-3.01243209838867,-0.559947967529297,-0.523690938949585,-3.87593793869019,1.60175490379334,64,0,64,0
0.984375,0.984375,0.984375,-4.4499979019165,-6.55825805664063,-2.10826015472412,-0.64424991607666,-0.582915544509888,-4.4499979019165,1.62740302085876,63,1,63,1
0.984375,0.984375,0.984375,-4.92598533630371,-7.58282566070557,-2.65684032440186,-0.613903045654297,-0.519465506076813,-4.92598533630371,1.58749508857727,63,1,63,1
0.984375,0.984375,0.984375,-5.39616584777832,-8.11894226074219,-2.72277641296387,-0.649556159973145,-0.599367380142212,-5.39616584777832,1.73887205123901,63,1,63,1
1,1,1,-5.234543800354,-8.46836376190186,-3.23381996154785,-0.515002727508545,-0.444370329380035,-5.234543800354,1.59761500358582,64,0,64,0
0.875,0.875,0.875,-5.52395391464233,-7.03790187835693,-1.5139479637146,-0.58359432220459,-0.497120052576065,-5.52395391464233,1.60802578926086,56,8,56,8
0.953125,0.953125,0.953125,-5.56889009475708,-7.57117891311646,-2.00228881835937,-0.582322120666504,-0.481919497251511,-5.56889009475708,1.63504791259766,61,3,61,3
0.984375,0.984375,0.984375,-5.61241722106934,-9.56884574890137,-3.95642852783203,-0.609989643096924,-0.557653427124023,-5.61241722106934,1.7415771484375,63,1,63,1
0.984375,0.984375,0.984375,-6.52564811706543,-8.78993129730225,-2.26428318023682,-0.684808254241943,-0.546830713748932,-6.52564811706543,1.60254096984863,63,1,63,1
0.953125,0.953125,0.953125,-5.92560195922852,-7.9869236946106,-2.06132173538208,-0.566587924957275,-0.529726505279541,-5.92560195922852,1.6241180896759,61,3,61,3
0.96875,0.96875,0.96875,-5.02275896072388,-7.09762382507324,-2.07486486434937,-0.78348970413208,-0.737831115722656,-5.02275896072388,1.60393214225769,62,2,62,2
0.953125,0.953125,0.953125,-4.76645803451538,-6.73257350921631,-1.96611547470093,-0.640638828277588,-0.593857347965241,-4.76645803451538,1.76932406425476,61,3,61,3
